ID,Collected.Date,Collected.By,Weight,Notes,Sex,Line,Genotype,Diet,Birth.Date,Housing.ID,Age.Tested.Days,Age.Tested.Months,AgeGrp
2976,2018-03-12,NA,21.47,late preservative,Female,B6xBXD28,5XFAD,6% Extruded,2017-11-15,1007,117,3.84,4
3246,2018-03-12,NA,22.21,NA,Female,B6xBXD172,Ntg,6% Extruded,2017-12-03,1099,99,3.25,4
1962,2018-03-12,NA,24.3,NA,Female,B6xBXD28,Ntg,6% Extruded,2017-08-17,670,207,6.79,6
3224,2018-03-12,NA,19.72,NA,Female,B6xBXD16,Ntg,6% Extruded,2017-12-03,1093,99,3.25,4
1963,2018-03-12,NA,19.83,NA,Female,B6xBXD28,5XFAD,6% Extruded,2017-08-17,670,207,6.79,6
3126,2018-03-12,NA,22.53,small amt. of blood,Female,B6xBXD65a,5XFAD,6% Extruded,2017-11-24,1064,108,3.54,4
3237,2018-03-12,NA,21.05,NA,Female,B6xBXD70,5XFAD,6% Extruded,2017-12-02,1097,100,3.28,4
2973,2018-03-12,NA,22.93,NA,Female,B6xBXD28,Ntg,6% Extruded,2017-11-15,1007,117,3.84,4
3125,2018-03-12,NA,21.36,NA,Female,B6xBXD65a,5XFAD,6% Extruded,2017-11-24,1064,108,3.54,4
2975,2018-03-12,NA,19.47,NA,Female,B6xBXD28,5XFAD,6% Extruded,2017-11-15,1007,117,3.84,4
1964,2018-03-12,NA,25.45,NA,Female,B6xBXD28,Ntg,6% Extruded,2017-08-17,670,207,6.79,6
1960,2018-03-12,NA,21.98,NA,Female,B6xBXD28,5XFAD,6% Extruded,2017-08-17,670,207,6.79,6
3230,2018-03-12,NA,21.29,NA,Female,B6xBXD65,5XFAD,6% Extruded,2017-12-03,1094,99,3.25,4
3238,2018-03-12,NA,21.4,NA,Female,B6xBXD70,5XFAD,6% Extruded,2017-12-02,1097,100,3.28,4
1961,2018-03-12,NA,24.22,floor brain,Female,B6xBXD28,Ntg,6% Extruded,2017-08-17,670,207,6.79,6
3115,2018-03-12,NA,23.44,barbering on top of head,Female,B6xBXD62,5XFAD,6% Extruded,2017-11-26,1061,106,3.48,4
3114,2018-03-12,NA,21.89,heart in 3116 tube (3114),Female,B6xBXD62,5XFAD,6% Extruded,2017-11-26,1061,106,3.48,4
3128,2018-03-12,NA,20.94,NA,Female,B6xBXD65a,5XFAD,6% Extruded,2017-11-24,1064,108,3.54,4
3225,2018-03-12,NA,23.37,NA,Female,B6xBXD16,Ntg,6% Extruded,2017-12-03,1093,99,3.25,4
3228,2018-03-12,NA,21,NA,Female,B6xBXD16,5XFAD,6% Extruded,2017-12-03,1093,99,3.25,4
3263,2018-03-12,NA,22.78,NA,Female,B6xBXD48a,Ntg,6% Extruded,2017-12-04,1103,98,3.21,4
3229,2018-03-12,NA,22.45,NA,Female,B6xBXD65,Ntg,6% Extruded,2017-12-03,1094,99,3.25,4
3226,2018-03-12,NA,19.65,NA,Female,B6xBXD16,Ntg,6% Extruded,2017-12-03,1093,99,3.25,4
3116,2018-03-12,NA,24.21,heart in 3114; balding body,Female,B6xBXD62,Ntg,6% Extruded,2017-11-26,1061,106,3.48,4
3050,2018-03-12,NA,24.41,NA,Female,B6xBXD83,Ntg,6% Extruded,2017-11-21,1037,111,3.64,4
3260,2018-03-12,NA,23.18,jumped on floor,Female,B6xBXD34,5XFAD,6% Extruded,2017-12-03,1102,99,3.25,4
3227,2018-03-12,NA,19.85,NA,Female,B6xBXD16,Ntg,6% Extruded,2017-12-03,1093,99,3.25,4
3122,2018-03-12,NA,23.5,NA,Female,B6xBXD98,Ntg,6% Extruded,2017-11-25,1063,107,3.51,4
3264,2018-03-12,NA,23.43,NA,Female,B6xBXD48a,Ntg,6% Extruded,2017-12-04,1103,98,3.21,4
3261,2018-03-12,NA,21.13,NA,Female,B6xBXD34,5XFAD,6% Extruded,2017-12-03,1102,99,3.25,4
3049,2018-03-12,NA,22.41,NA,Female,B6xBXD83,Ntg,6% Extruded,2017-11-21,1037,111,3.64,4
3127,2018-03-12,NA,21.84,NA,Female,B6xBXD65a,5XFAD,6% Extruded,2017-11-24,1064,108,3.54,4
3052,2018-03-12,NA,24.42,NA,Female,B6xBXD83,Ntg,6% Extruded,2017-11-21,1037,111,3.64,4
2974,2018-03-12,NA,18.79,NA,Female,B6xBXD28,5XFAD,6% Extruded,2017-11-15,1007,117,3.84,4
2972,2018-03-12,NA,21.54,NA,Female,B6xBXD28,5XFAD,6% Extruded,2017-11-15,1007,117,3.84,4
3262,2018-03-12,NA,20.72,NA,Female,B6xBXD48a,Ntg,6% Extruded,2017-12-04,1103,98,3.21,4
3051,2018-03-12,NA,19.26,NA,Female,B6xBXD83,Ntg,6% Extruded,2017-11-21,1037,111,3.64,4
3335,2018-03-19,NA,20.34,note at top of page:2 organ tubes in brain tubes,Female,B6xBXD100,5XFAD,6% Extruded,2017-12-10,1128,99,3.25,4
2185,2018-03-19,NA,22.61,NA,Female,B6xBXD19,5XFAD,6% Extruded,2017-09-08,756,192,6.3,6
3314,2018-03-19,NA,21.82,NA,Female,B6xBXD78,5XFAD,6% Extruded,2017-12-11,1122,98,3.21,4
3319,2018-03-19,NA,23.75,NA,Female,B6xBXD161,Ntg,6% Extruded,2017-12-11,1124,98,3.21,4
3111,2018-03-19,NA,28.6,NA,Male,B6,5XFAD,6% Extruded,2017-11-28,1060,111,3.64,4
3369,2018-03-19,NA,15.95,NA,Female,B6xBXD154,5XFAD,6% Extruded,2017-12-09,1137,100,3.28,4
2174,2018-03-19,NA,23.95,NA,Female,B6xBXD83,5XFAD,6% Extruded,2017-09-07,754,193,6.33,6
2171,2018-03-19,NA,24.71,NA,Female,B6xBXD33,Ntg,6% Extruded,2017-09-05,753,195,6.39,6
2178,2018-03-19,NA,22.41,NA,Female,B6xBXD19,5XFAD,6% Extruded,2017-09-08,755,192,6.3,6
2172,2018-03-19,NA,23.95,NA,Female,B6xBXD33,5XFAD,6% Extruded,2017-09-05,753,195,6.39,6
3338,2018-03-19,NA,25.78,NA,Female,B6xBXD100,Ntg,6% Extruded,2017-12-10,1128,99,3.25,4
