AgeGrp,Sex,Genotype,Diet,Line,Weight_mean,Weight_sd,Age.Tested.Days_mean,Age.Tested.Days_sd,Age.Tested.Months_mean,Age.Tested.Months_sd,sample.n
2,Female,5XFAD,45% HFD,B6,22.68,0.4666904755831215,87,0,2.85,0,2
2,Female,5XFAD,45% HFD,B6xBXD113,19.24,NA,86,NA,2.82,NA,1
2,Female,5XFAD,45% HFD,B6xBXD14,20.14,0.6788225099390862,87,0,2.85,0,2
2,Female,5XFAD,45% HFD,B6xBXD152,19.3875,0.7934891303603353,85.5,1.7320508075688772,2.8,0.05773502691896263,4
2,Female,5XFAD,45% HFD,B6xBXD161,20.7,NA,86,NA,2.82,NA,1
2,Female,5XFAD,45% HFD,B6xBXD169,18.58,NA,86,NA,2.82,NA,1
2,Female,5XFAD,45% HFD,B6xBXD19,20.009999999999998,0.1979898987322316,86,0,2.82,0,2
2,Female,5XFAD,45% HFD,B6xBXD38,20.5825,1.5010302017836517,89.75,2.5,2.94,0.08000000000000007,4
2,Female,5XFAD,45% HFD,B6xBXD39,19.51,NA,79,NA,2.59,NA,1
2,Female,5XFAD,45% HFD,B6xBXD60,23.993333333333332,3.8605224171520267,81.33333333333333,4.041451884327381,2.6666666666666665,0.1327905619136139,3
2,Female,5XFAD,45% HFD,B6xBXD61,21.466,1.6207035509308918,80.4,3.1304951684997055,2.6359999999999997,0.10285912696499032,5
2,Female,5XFAD,45% HFD,B6xBXD65,20.97,1.1172287142747463,86,0,2.82,0,2
2,Female,5XFAD,45% HFD,B6xBXD66,19.73,NA,91,NA,2.98,NA,1
2,Female,5XFAD,45% HFD,B6xBXD68,20.877499999999998,1.0324202955515098,84.25,3.5,2.7624999999999997,0.11499999999999999,4
2,Female,5XFAD,45% HFD,B6xBXD75,21.57,1.9657568516986028,86,0,2.82,0,2
2,Female,5XFAD,45% HFD,B6xD2,20.630000000000003,2.1778888860545678,86,0,2.82,0,2
2,Female,5XFAD,45% HFD,B6xD2Gpnmb,19.483333333333334,0.4212283624512175,79,0,2.59,0,3
2,Female,5XFAD,6% Extruded,B6xBXD113,20.465,0.7283199846221448,85,1.4142135623730951,2.785,0.049497474683058214,2
2,Female,5XFAD,6% Extruded,B6xBXD124,21.804,1.039629741783103,89.4,1.3416407864998738,2.93,0.044721359549995836,5
2,Female,5XFAD,6% Extruded,B6xBXD125,17.134,1.7535478322532294,74.8,3.8340579025361627,2.452,0.1259761882261882,5
2,Female,5XFAD,6% Extruded,B6xBXD14,19.217142857142857,1.5685313118297886,78,6.298147875897061,2.557142857142857,0.20693914449376058,7
2,Female,5XFAD,6% Extruded,B6xBXD152,19.618333333333332,1.4641231733247932,83.33333333333333,3.6147844564602556,2.73,0.11730302638892154,6
2,Female,5XFAD,6% Extruded,B6xBXD154,17.81,NA,86,NA,2.82,NA,1
2,Female,5XFAD,6% Extruded,B6xBXD156,18.52,0.8982575725629418,86,0,2.82,0,4
2,Female,5XFAD,6% Extruded,B6xBXD16,21.3,NA,91,NA,2.98,NA,1
2,Female,5XFAD,6% Extruded,B6xBXD160,20.205,0.7687435636586932,86,0,2.82,0,4
2,Female,5XFAD,6% Extruded,B6xBXD161,21.6425,0.9431286585968357,83.25,2.9860788111948193,2.7275,0.09742518497116989,4
2,Female,5XFAD,6% Extruded,B6xBXD169,18.01,NA,79,NA,2.59,NA,1
2,Female,5XFAD,6% Extruded,B6xBXD19,19.726666666666667,1.8507385913016818,85.33333333333333,1.1547005383792515,2.7966666666666664,0.04041451884327371,3
2,Female,5XFAD,6% Extruded,B6xBXD28,19.368000000000002,2.104393024128335,86,0,2.82,0,5
2,Female,5XFAD,6% Extruded,B6xBXD38,19.97,0.19916492328386246,84.25,3.5,2.7624999999999997,0.11499999999999999,4
2,Female,5XFAD,6% Extruded,B6xBXD39,15.06,NA,72,NA,2.36,NA,1
2,Female,5XFAD,6% Extruded,B6xBXD50,15.94,NA,79,NA,2.59,NA,1
2,Female,5XFAD,6% Extruded,B6xBXD55,20.891666666666666,1.3888472438200918,85.33333333333333,5.391351098441528,2.7966666666666664,0.17534727447744,6
2,Female,5XFAD,6% Extruded,B6xBXD60,21.623333333333335,0.334863156129984,86,0,2.82,0,3
