ID,Collected.Date,CFC.Baseline,CFC.PS1,CFC.PS2,CFC.PS3,CFC.PS4,CFA.Threshold,CFA.Slope,CFM.Bin1,CFM.Bin2,CFM.Bin3,CFM.Bin4,CFM.Bin5,CFM.Total,CFM.Threshold,Sex,Line,Genotype,Diet,Birth.Date,Housing.ID,Age.Tested.Days,Age.Tested.Months,AgeGrp
1960,2018-03-11,9.77,9.33,28.67,36,38.67,14.6,9.535,45.23,67.63,67.41,70.95,54.89,61.2,14.7,Female,B6xBXD28,5XFAD,6% Extruded,2017-08-17,670,206,6.75,6
1961,2018-03-11,5.51,3.33,44,47.33,30.67,20.9,8.535,48.67,54.55,62.75,60.53,31.11,51.49,15.6,Female,B6xBXD28,Ntg,6% Extruded,2017-08-17,670,206,6.75,6
1962,2018-03-11,6.22,8,30,45.33,80.67,12,23.334,37.92,51.88,69.84,49.45,70,55.87,9.8,Female,B6xBXD28,Ntg,6% Extruded,2017-08-17,670,206,6.75,6
1963,2018-03-11,4.26,8,25.33,28,36,22.4,8.667,64.52,51.66,49.22,55.88,23.33,48.98,24.3,Female,B6xBXD28,5XFAD,6% Extruded,2017-08-17,670,206,6.75,6
1964,2018-03-11,0,0,9.33,15.33,27.33,13.2,8.798999999999998,34.81,31.04,36.36,23.95,14.44,28.18,12,Female,B6xBXD28,Ntg,6% Extruded,2017-08-17,670,206,6.75,6
2972,2018-03-11,1.42,34.67,44.67,57.33,54.67,9.6,7.266000000000001,56.54,70.29,50.33,59.2,48,56.84,23.7,Female,B6xBXD28,5XFAD,6% Extruded,2017-11-15,1007,116,3.8,3
2973,2018-03-11,5.68,20.67,38.67,42,41.33,11.9,6.530999999999999,67.63,54.1,73.39,34.59,23.56,50.67,16.7,Female,B6xBXD28,Ntg,6% Extruded,2017-11-15,1007,116,3.8,3
2974,2018-03-11,33.57,8.67,50,59.33,74,14.2,20.532000000000004,83.37,84.7,80.04,71.62,72.67,78.49,12.2,Female,B6xBXD28,5XFAD,6% Extruded,2017-11-15,1007,116,3.8,3
2975,2018-03-11,1.42,22,42,53.33,38,12.3,5.933000000000001,56.54,58.76,59.87,62.08,54.44,58.31,22.5,Female,B6xBXD28,5XFAD,6% Extruded,2017-11-15,1007,116,3.8,3
2976,2018-03-11,7.28,22.67,38.67,72,66.67,10,16.532999999999994,74.28,88.69,74.06,96.23,46.67,76,19.2,Female,B6xBXD28,5XFAD,6% Extruded,2017-11-15,1007,116,3.8,3
3049,2018-03-11,9.77,10.67,42.67,55.33,76,20.7,20.864999999999995,64.97,59.42,40.35,15.08,25.78,41.16,14,Female,B6xBXD83,Ntg,6% Extruded,2017-11-21,1037,110,3.61,3
3050,2018-03-11,3.37,13.33,42,68.67,79.33,25.4,22.466999999999995,39.02,29.71,11.97,8.43,16.89,21.16,16.8,Female,B6xBXD83,Ntg,6% Extruded,2017-11-21,1037,110,3.61,3
3051,2018-03-11,3.02,38.67,30.67,63.33,80.67,14.4,15.865999999999998,43.02,69.62,56.76,38.14,28.67,47.29,13.7,Female,B6xBXD83,Ntg,6% Extruded,2017-11-21,1037,110,3.61,3
3052,2018-03-11,5.33,22,15.33,42,65.33,17.7,15.666000000000002,45.23,33.48,27.27,27.27,18.89,30.4,15.6,Female,B6xBXD83,Ntg,6% Extruded,2017-11-21,1037,110,3.61,3
3114,2018-03-11,8.53,46.67,52.67,53.33,74.67,18.3,8.466000000000001,61.2,65.41,65.19,67.18,68.6,65.45,14.8,Female,B6xBXD62,5XFAD,6% Extruded,2017-11-26,1061,105,3.44,3
3115,2018-03-11,8.53,46.67,41.33,62.67,86,12.7,13.932999999999998,64.67,70.95,67.41,66.52,66.89,67.23,22.1,Female,B6xBXD62,5XFAD,6% Extruded,2017-11-26,1061,105,3.44,3
3116,2018-03-11,21.85,44,71.33,80,68,18.5,8.067,77.38,84.04,90.24,67.41,76.44,79.11,14.8,Female,B6xBXD62,Ntg,6% Extruded,2017-11-26,1061,105,3.44,3
3122,2018-03-11,5.33,26,55.33,45.33,43.33,8,4.1990000000000025,70.07,71.84,67.18,28.16,36.89,54.84,8.5,Female,B6xBXD98,Ntg,6% Extruded,2017-11-25,1063,106,3.48,3
3125,2018-03-11,1.6,7.33,6.67,30,16,21.2,4.933999999999999,27.27,23.06,30.82,21.51,26.67,25.78,20.1,Female,B6xBXD65a,5XFAD,6% Extruded,2017-11-24,1064,107,3.51,3
3126,2018-03-11,0,0.67,24,28.67,27.33,14.8,8.465,84.7,96.45,86.92,93.13,93.11,90.84,5.8,Female,B6xBXD65a,5XFAD,6% Extruded,2017-11-24,1064,107,3.51,3
3127,2018-03-11,0,4,42,36,72.67,15.5,20.001,49.45,51.88,48.34,55.21,82,57.38,13.3,Female,B6xBXD65a,5XFAD,6% Extruded,2017-11-24,1064,107,3.51,3
3128,2018-03-11,6.04,35.33,49.33,49.33,54.67,13.4,5.802000000000001,89.58,97.78,82.04,93.35,77.28,88.04,16.3,Female,B6xBXD65a,5XFAD,6% Extruded,2017-11-24,1064,107,3.51,3
3224,2018-03-11,1.07,41.33,49.33,41.33,46,8.1,0.6010000000000018,75.61,82.71,97.56,84.7,90.67,86.22,13.2,Female,B6xBXD16,Ntg,6% Extruded,2017-12-03,1093,98,3.21,3
3225,2018-03-11,6.57,21.33,9.33,26.67,29.33,14.4,4.134000000000001,60.53,68.96,94.01,88.03,25.39,67.45,11.5,Female,B6xBXD16,Ntg,6% Extruded,2017-12-03,1093,98,3.21,3
3226,2018-03-11,7.82,14,57.33,57.33,32.67,11,5.601000000000003,79.82,88.03,100,84.92,85.33,87.6,15.1,Female,B6xBXD16,Ntg,6% Extruded,2017-12-03,1093,98,3.21,3
3227,2018-03-11,0.71,14,35.33,39.33,52,17.3,11.8,71.62,85.37,88.91,83.81,82.44,82.4,10.1,Female,B6xBXD16,Ntg,6% Extruded,2017-12-03,1093,98,3.21,3
3228,2018-03-11,1.6,31.33,61.33,82,72.67,19.3,14.469,58.09,80.27,99.78,99.56,87.75,85.1,13.2,Female,B6xBXD16,5XFAD,6% Extruded,2017-12-03,1093,98,3.21,3
3229,2018-03-11,0,14.67,30.67,26.67,36,11.7,5.998999999999999,28.38,49.89,49,50.11,47.56,45.02,18.1,Female,B6xBXD65,Ntg,6% Extruded,2017-12-03,1094,98,3.21,3
3230,2018-03-11,1.6,9.33,14.67,35.33,32.67,24.7,9.068,33.78,59.65,64.97,53.66,49.78,52.38,15.5,Female,B6xBXD65,5XFAD,6% Extruded,2017-12-03,1094,98,3.21,3
3237,2018-03-11,0.71,37.33,40.67,30.67,31.33,13.5,-2.799999999999998,27.94,9.98,47.01,58.31,20.22,32.71,17.6,Female,B6xBXD70,5XFAD,6% Extruded,2017-12-02,1097,99,3.25,3
3238,2018-03-11,10.12,33.33,46,27.33,23.33,13.4,-4.866999999999999,70.89,73.17,82.93,57.65,39.56,64.92,28.2,Female,B6xBXD70,5XFAD,6% Extruded,2017-12-02,1097,99,3.25,3
3246,2018-03-11,1.78,5.33,4,4,0,8.7,-1.599,2.44,5.32,7.54,13.97,10.89,8.04,14.8,Female,B6xBXD172,Ntg,6% Extruded,2017-12-03,1099,98,3.21,3
3260,2018-03-11,14.92,32.67,30,59.33,30.67,16.2,2.3329999999999997,71.84,82.71,84.7,71.62,83.56,78.84,18,Female,B6xBXD34,5XFAD,6% Extruded,2017-12-03,1102,98,3.21,3
3261,2018-03-11,7.82,41.33,37.33,38.67,40,13,-0.26500000000000046,79.16,65.19,74.28,65.41,68.89,70.53,24.4,Female,B6xBXD34,5XFAD,6% Extruded,2017-12-03,1102,98,3.21,3
3262,2018-03-11,2.31,27.33,61.33,36.67,57.33,13.1,6.533999999999998,77.16,87.8,94.9,89.14,90.89,88,19.9,Female,B6xBXD48a,Ntg,6% Extruded,2017-12-04,1103,97,3.18,3
3263,2018-03-11,6.22,62,59.33,60,82.67,21.8,6.267999999999998,70.29,73.84,36.81,47.01,60.67,57.69,24.3,Female,B6xBXD48a,Ntg,6% Extruded,2017-12-04,1103,97,3.18,3
3264,2018-03-11,5.33,23.33,30.67,62.67,33.33,15.9,6.200000000000001,30.82,44.35,52.11,48.78,46.89,44.67,17.1,Female,B6xBXD48a,Ntg,6% Extruded,2017-12-04,1103,97,3.18,3
2170,2018-03-17,9.77,28.67,23.33,40,26.67,15,1.0670000000000022,83.37,96.23,93.79,91.57,92.44,91.47,13.2,Female,B6xBXD33,5XFAD,6% Extruded,2017-09-05,753,193,6.33,6
2171,2018-03-17,1.07,28.67,32,28.67,27.33,17.4,-0.7349999999999993,56,88.47,90.91,97.78,86.67,83.95,13.2,Female,B6xBXD33,Ntg,6% Extruded,2017-09-05,753,193,6.33,6
2172,2018-03-17,9.41,35.33,42.67,58,84,25.6,16.134000000000004,64.75,70.29,55.65,62.97,61.56,63.02,11.9,Female,B6xBXD33,5XFAD,6% Extruded,2017-09-05,753,193,6.33,6
2173,2018-03-17,6.57,23.33,50.67,48,46,16.9,6.534000000000002,61.86,78.44,43.02,66.3,34.44,56.74,13,Female,B6xBXD83,Ntg,6% Extruded,2017-09-07,754,191,6.26,6
2174,2018-03-17,3.73,18,54.67,74,51.33,16.4,11.931999999999997,61.33,83.81,80.27,83.59,77.56,77.28,9.5,Female,B6xBXD83,5XFAD,6% Extruded,2017-09-07,754,191,6.26,6
2175,2018-03-17,3.73,55.33,49.33,69.33,74.67,5.9,7.802000000000001,37.47,40.8,45.45,27.72,45.78,39.47,9.5,Female,B6xBXD83,Ntg,6% Extruded,2017-09-07,754,191,6.26,6
2178,2018-03-17,0,6.67,0.67,20.67,25.33,27.5,7.597999999999999,24.17,41.46,47.23,13.53,31.78,31.69,22.9,Female,B6xBXD19,5XFAD,6% Extruded,2017-09-08,755,190,6.23,6
2179,2018-03-17,0.71,33.33,47.33,42,67.33,11.4,9.667,67.85,82.67,74.94,58.31,76,71.94,4.1,Female,B6xBXD19,5XFAD,6% Extruded,2017-09-08,755,190,6.23,6
2180,2018-03-17,0,28,42.67,50.67,81.33,13.3,16.799,44.12,70.51,63.64,77.38,97.33,70.58,13.8,Female,B6xBXD19,Ntg,6% Extruded,2017-09-08,755,190,6.23,6
2181,2018-03-17,0.71,26.67,34.67,45.33,60.67,13.4,11.265999999999998,77.38,78.27,94.9,22.39,14.44,57.51,8.6,Female,B6xBXD19,Ntg,6% Extruded,2017-09-08,755,190,6.23,6
2182,2018-03-17,0.71,22.67,36,66,28,13.4,4.599,29.05,50.55,62.53,53.44,13.33,41.78,9.4,Female,B6xBXD19,Ntg,6% Extruded,2017-09-08,755,190,6.23,6
2185,2018-03-17,0,2.67,3.33,26,49.33,15.7,16.265,26.39,42.13,35.25,13.53,17.78,27.07,16.9,Female,B6xBXD19,5XFAD,6% Extruded,2017-09-08,756,190,6.23,6
3110,2018-03-17,1.42,11.33,20.67,66,50,13.6,16.134000000000004,47.67,24.17,31.04,21.06,48,34.36,14.5,Male,B6,Ntg,6% Extruded,2017-11-28,1060,109,3.57,3
3111,2018-03-17,9.06,20,42,28,47.33,23.6,6.799000000000001,65.78,80.71,67.63,74.28,26.44,63.05,12.4,Male,B6,5XFAD,6% Extruded,2017-11-28,1060,109,3.57,3
3112,2018-03-17,17.94,32,49.33,44.67,80.67,26.2,14.134999999999996,49.22,48.12,49.22,46.12,50,48.58,8.6,Male,B6,5XFAD,6% Extruded,2017-11-28,1060,109,3.57,3
3113,2018-03-17,0.71,39.33,38,36,43.33,18.2,0.9999999999999998,47.45,48.78,41.24,24.83,21.56,36.76,17.1,Male,B6,5XFAD,6% Extruded,2017-11-28,1060,109,3.57,3
3249,2018-03-17,5.86,46.67,48,70,78.67,23,11.8,46.78,76.94,58.76,21.51,51.33,51.07,16.2,Female,B6xBXD172,5XFAD,6% Extruded,2017-12-03,1099,104,3.41,3
3311,2018-03-17,17.23,58,63.33,88,54,5.7,1.2670000000000017,50.55,82.04,73.61,27.94,38,54.4,5,Female,B6xBXD78,5XFAD,6% Extruded,2017-12-11,1122,96,3.15,3
3312,2018-03-17,10.48,27.33,30.67,54,68,18.1,14.534,33.7,25.94,24.39,13.53,46.67,28.89,7.6,Female,B6xBXD78,Ntg,6% Extruded,2017-12-11,1122,96,3.15,3
3313,2018-03-17,13.14,30,70,87.33,92.67,15.4,20.534,36.14,10.86,9.31,38.8,41.11,27.29,12.6,Female,B6xBXD78,Ntg,6% Extruded,2017-12-11,1122,96,3.15,3
3314,2018-03-17,4.44,11.33,34,37.33,67.33,14.5,17.133,37.69,49.45,43.68,39.47,23.33,38.76,15,Female,B6xBXD78,5XFAD,6% Extruded,2017-12-11,1122,96,3.15,3
3315,2018-03-17,0.71,42,35.33,20,48,12.8,0.26700000000000146,31.71,54.77,55.88,47.23,26.89,43.38,23.5,Female,B6xBXD78,Ntg,6% Extruded,2017-12-11,1122,96,3.15,3
3319,2018-03-17,5.68,3.33,30,38.67,22,16.8,6.468,37.25,49,62.53,13.75,28.67,38.22,12.5,Female,B6xBXD161,Ntg,6% Extruded,2017-12-11,1124,96,3.15,3
3320,2018-03-17,24.69,26,33.33,69.33,59.33,9.6,13.598999999999997,71.62,77.38,75.61,40.58,21.56,57.38,8.8,Female,B6xBXD161,Ntg,6% Extruded,2017-12-11,1124,96,3.15,3
