ID,Collected.Date,Collected.By,NB.Date,NB.Trial1,NB.Trial2,NB.Trial3,NB.Average,NB.Comments,IS.Date,IS.Trial1,IS.Trial2,IS.Trial3,IS.Average,IS.Comments,GS.Date,GS.Trial1,GS.Trial2,GS.Trial3,GS.Average,GS.Comments,Sex,Line,Genotype,Diet,Birth.Date,Housing.ID,Age.Tested.Days,Age.Tested.Months,AgeGrp
19700,2020-12-30,NA,12/30/2020,180,74.85,10.79,88.5466666666667,1_backNforth,12/30/2020,19.38,30.78,4.97,18.3766666666667,NA,12/30/2020,-3.49,-3.2,-3.31,-3.33333333333333,NA,Female,B6xBXD73,5XFAD,6% Extruded,2019-11-12,5988,414,13.57,14
19701,2020-12-30,NA,12/30/2020,68.09,39.9,32.68,46.89,NA,12/30/2020,5.66,15.56,5.81,9.01,NA,12/30/2020,-3.64,-3.43,-3.54,-3.53666666666667,NA,Female,B6xBXD73,Ntg,6% Extruded,2019-11-12,5988,414,13.57,14
19702,2020-12-30,NA,12/30/2020,42.81,11.78,4.44,19.6766666666667,NA,12/30/2020,41.62,26.72,10.85,26.3966666666667,NA,12/30/2020,-3.12,-3.23,-3.21,-3.18666666666667,NA,Female,B6xBXD73,5XFAD,6% Extruded,2019-11-12,5988,414,13.57,14
26098,2020-12-30,NA,12/30/2020,180,61.97,180,140.656666666667,1_fell@11.88 3_fell@7.62,12/30/2020,25.93,17.03,21.06,21.34,NA,12/30/2020,-3.58,-3.73,-3.84,-3.71666666666667,NA,Male,B6xBXD113,Ntg,45% HFD,2020-07-07,7878,176,5.77,6
12862,2020-12-30,NA,12/30/2020,167.38,37.68,20.38,75.1466666666667,3_ledge,12/30/2020,4.56,11.1,5.72,7.12666666666667,NA,12/30/2020,-3.21,-3.43,-3.23,-3.29,NA,Male,B6xBXD73,Ntg,6% Extruded,2019-03-12,4015,659,21.61,22
12864,2020-12-30,NA,12/30/2020,28.82,16.47,20.75,22.0133333333333,3_ledge,12/30/2020,6.85,6.22,25.09,12.72,NA,12/30/2020,-3.4,-3.74,-3.7,-3.61333333333333,NA,Male,B6xBXD73,Ntg,6% Extruded,2019-03-12,4015,659,21.61,22
26182,2020-12-30,NA,12/30/2020,171.63,95.79,42.94,103.453333333333,3_ledge,12/30/2020,14.59,19.71,27.69,20.6633333333333,NA,12/30/2020,-3.47,-3.64,-3.58,-3.56333333333333,NA,Male,B6xBXD154,5XFAD,45% HFD,2020-07-07,7892,176,5.77,6
26183,2020-12-30,NA,12/30/2020,148.87,6.88,24.03,59.9266666666667,3_ledge,12/30/2020,23.15,39.06,22.65,28.2866666666667,NA,12/30/2020,-3.38,-3.54,-3.73,-3.55,NA,Male,B6xBXD154,Ntg,45% HFD,2020-07-07,7892,176,5.77,6
26184,2020-12-30,NA,12/30/2020,31.78,39.62,27.03,32.81,1_ledge 2_ledge 3_ledge,12/30/2020,15.44,23,14.63,17.69,NA,12/30/2020,-3.33,-3.2,-3.44,-3.32333333333333,NA,Male,B6xBXD154,Ntg,45% HFD,2020-07-07,7892,176,5.77,6
26137,2020-12-30,NA,12/30/2020,34.72,45.16,51.04,43.64,3_ledge,12/30/2020,4.66,40.16,18.59,21.1366666666667,NA,12/30/2020,-3.53,-3.17,-3.35,-3.35,NA,Male,B6xBXD125,5XFAD,45% HFD,2020-07-07,7890,176,5.77,6
26138,2020-12-30,NA,12/30/2020,44.09,39.84,32.43,38.7866666666667,NA,12/30/2020,20.78,38.16,8.22,22.3866666666667,NA,12/30/2020,-3.4,-3.6,-3.5,-3.5,NA,Male,B6xBXD125,5XFAD,45% HFD,2020-07-07,7890,176,5.77,6
26139,2020-12-30,NA,12/30/2020,180,180,150,170,1_fell@20.71 2_DNM 3_ledge,12/30/2020,51.16,9.18,41.97,34.1033333333333,NA,12/30/2020,-3.39,-3.28,-3.44,-3.37,NA,Male,B6xBXD125,Ntg,45% HFD,2020-07-07,7890,176,5.77,6
26140,2020-12-30,NA,12/30/2020,78.93,13.53,23.53,38.6633333333333,1_ledge,12/30/2020,57.47,48.28,12.1,39.2833333333333,NA,12/30/2020,-3.2,-3.11,-3.19,-3.16666666666667,NA,Male,B6xBXD125,Ntg,45% HFD,2020-07-07,7890,176,5.77,6
26141,2020-12-30,NA,12/30/2020,14,32.91,15.22,20.71,NA,12/30/2020,26.25,19.84,57.81,34.6333333333333,NA,12/30/2020,-3.27,-3.22,-3.36,-3.28333333333333,NA,Male,B6xBXD125,5XFAD,45% HFD,2020-07-07,7890,176,5.77,6
18602,2019-12-23,NA,12/23/2019,16.15,21.19,25.4,20.9133333333333,3_ledge,12/23/2019,5.12,43.47,39.4,29.33,NA,12/23/2019,-2.44,-3.01,-2.76,-2.73666666666667,NA,Female,B6xBXD83,5XFAD,45% HFD,2019-10-01,5606,83,2.72,2
18603,2019-12-23,NA,12/23/2019,12.34,5.78,5.4,7.84,NA,12/23/2019,3.5,3.03,12.75,6.42666666666667,NA,12/23/2019,-3.18,-2.69,-2.7,-2.85666666666667,NA,Female,B6xBXD83,5XFAD,45% HFD,2019-10-01,5606,83,2.72,2
18604,2019-12-23,NA,12/23/2019,36.13,26.06,33.31,31.8333333333333,3_ledge,12/23/2019,9.6,12.12,16.75,12.8233333333333,NA,12/23/2019,-3.07,-2.3,-2.51,-2.62666666666667,NA,Female,B6xBXD83,5XFAD,45% HFD,2019-10-01,5606,83,2.72,2
18651,2019-12-23,NA,12/23/2019,10.62,3.65,14.97,9.74666666666667,NA,12/23/2019,8.29,14.28,41.72,21.43,NA,12/23/2019,-3.12,-3.13,-2.81,-3.02,NA,Male,B6xBXD125,Ntg,45% HFD,2019-10-01,5617,83,2.72,2
