AgeGrp,Sex,Genotype,Diet,Line,NB.Average_mean,NB.Average_sd,IS.Average_mean,IS.Average_sd,GS.Average_mean,GS.Average_sd,Age.Tested.Days_mean,Age.Tested.Days_sd,Age.Tested.Months_mean,Age.Tested.Months_sd,sample.n
2,Female,5XFAD,45% HFD,B6,48.89266666299999,44.984486283919075,7.754666666666667,5.399006584010629,-2.562333333366667,0.4176390136230974,81.1,5.546770832355224,2.658,0.1819523747211524,10
2,Female,5XFAD,45% HFD,B6xBXD113,19.18,12.145744872938776,9.928333332499992,6.7946561242703805,-2.7083333334166673,0.3758693628076215,79.5,4.041451884327381,2.6050000000000004,0.1327905619136139,4
2,Female,5XFAD,45% HFD,B6xBXD12,63.811666666499995,83.45038529326808,12.698333335000001,0.016499155870664632,-2.823333333,0.3818376618407357,64,0,2.1,0,2
2,Female,5XFAD,45% HFD,B6xBXD124,103.3400000000001,66.81817001717758,7.938333333333333,0.3574860784650183,-2.9958333333333327,0.17374683583583278,52,0,1.7,0,4
2,Female,5XFAD,45% HFD,B6xBXD125,17.7650000015,12.320157153466338,14.815000000000001,1.425998670678826,-2.6633333335,0.004714045443612392,84,0,2.75,0,2
2,Female,5XFAD,45% HFD,B6xBXD14,92.73933333333335,66.75735641527123,9.948,5.3945474529586095,-2.636666666666666,0.30256312472679786,82,3.391164991562634,2.686,0.11058933040759396,5
2,Female,5XFAD,45% HFD,B6xBXD152,60.65399999999994,45.42826918462886,15.188,6.190739769113932,-2.636666666666668,0.15216949614017863,80.8,2.04939015319192,2.648,0.06685805860178727,5
2,Female,5XFAD,45% HFD,B6xBXD154,42.19499999999997,34.31858476565509,13.320833333333326,6.610043284443915,-1.6079166666666653,0.474498691185242,48,3.2071349029490928,1.575,0.10155927192672123,8
2,Female,5XFAD,45% HFD,B6xBXD16,62.510000000000005,50.51570844796696,8.80499999983335,4.838967406155666,-2.9383333333333352,0.3087699611181279,81.5,4.949747468305833,2.675,0.1626345596729059,2
2,Female,5XFAD,45% HFD,B6xBXD161,116.98666666555566,33.773690123685995,11.065555555666657,3.7846845359246597,-2.935555555666667,0.1170628194919642,86,3.605551275463989,2.8200000000000003,0.11789826122551597,3
