ID,Collected.Date,Collected.By,Ymaze.Weight,Test,Ymaze.Apparatus,Ymaze.Distance,Ymaze.MeanSpeed,Ymaze.SponAlt,Ymaze.TotalArmEntries,Ymaze.AltArmReturns,Ymaze.Percent.SponAlt,Ymaze.Percent.AltArmReturns,Sex,Line,Genotype,Diet,Birth.Date,Housing.ID,Age.Tested.Days,Age.Tested.Months,AgeGrp
30727,2020-12-21,NA,20.12,1,Y-maze 1,20.413,0.043,25,45,12,58,28,Female,B6xBXD98,Ntg,6% Extruded,2020-10-27,9017,55,1.8,2
30728,2020-12-21,NA,19.09,2,Y-maze 2,20.218,0.042,27,46,14,61,32,Female,B6xBXD98,5XFAD,6% Extruded,2020-10-27,9017,55,1.8,2
30729,2020-12-21,NA,19.86,3,Y-maze 1,17.076,0.036,24,38,6,67,17,Female,B6xBXD98,5XFAD,6% Extruded,2020-10-27,9017,55,1.8,2
30718,2020-12-21,NA,25.37,4,Y-maze 2,16.155,0.034,25,34,7,78,22,Male,B6xBXD89,Ntg,6% Extruded,2020-10-27,9014,55,1.8,2
30719,2020-12-21,NA,25.94,5,Y-maze 1,16.957,0.035,22,37,10,63,29,Male,B6xBXD89,Ntg,6% Extruded,2020-10-27,9014,55,1.8,2
30720,2020-12-21,NA,24.93,6,Y-maze 2,14.335,0.03,20,32,10,67,33,Male,B6xBXD89,5XFAD,6% Extruded,2020-10-27,9014,55,1.8,2
30755,2020-12-21,NA,25.31,7,Y-maze 1,18.839,0.039,31,39,6,84,16,Male,B6xBXD101,5XFAD,6% Extruded,2020-10-27,9025,55,1.8,2
30756,2020-12-21,NA,25.79,8,Y-maze 2,18.097,0.038,21,45,13,49,30,Male,B6xBXD101,5XFAD,6% Extruded,2020-10-27,9025,55,1.8,2
30757,2020-12-21,NA,25.11,9,Y-maze 1,13.143,0.027,18,27,7,72,28,Male,B6xBXD101,Ntg,6% Extruded,2020-10-27,9025,55,1.8,2
30758,2020-12-21,NA,25.14,10,Y-maze 2,11.21,0.023,16,23,5,76,24,Male,B6xBXD101,Ntg,6% Extruded,2020-10-27,9025,55,1.8,2
30759,2020-12-21,NA,24.6,11,Y-maze 1,14.333,0.03,24,31,4,83,14,Male,B6xBXD101,Ntg,6% Extruded,2020-10-27,9025,55,1.8,2
30715,2020-12-21,NA,23.39,12,Y-maze 2,20.697,0.043,28,47,13,62,29,Male,B6xBXD89,5XFAD,6% Extruded,2020-10-27,9013,55,1.8,2
30716,2020-12-21,NA,23.57,13,Y-maze 1,13.168,0.027,15,28,3,58,12,Male,B6xBXD89,5XFAD,6% Extruded,2020-10-27,9013,55,1.8,2
30717,2020-12-21,NA,24.24,14,Y-maze 2,14.381,0.03,15,32,14,50,47,Male,B6xBXD89,Ntg,6% Extruded,2020-10-27,9013,55,1.8,2
30710,2020-12-21,NA,18.46,15,Y-maze 1,19.098,0.04,22,41,11,56,28,Female,B6xBXD89,5XFAD,6% Extruded,2020-10-27,9012,55,1.8,2
30711,2020-12-21,NA,20.46,16,Y-maze 2,16.765,0.035,18,34,12,56,38,Female,B6xBXD89,Ntg,6% Extruded,2020-10-27,9012,55,1.8,2
30712,2020-12-21,NA,20.02,17,Y-maze 1,17.776,0.037,26,40,10,68,26,Female,B6xBXD89,Ntg,6% Extruded,2020-10-27,9012,55,1.8,2
30713,2020-12-21,NA,18.24,18,Y-maze 2,13.436,0.028,18,28,7,69,27,Female,B6xBXD89,5XFAD,6% Extruded,2020-10-27,9012,55,1.8,2
30714,2020-12-21,NA,18.99,19,Y-maze 1,15.779,0.033,21,34,10,66,31,Female,B6xBXD89,5XFAD,6% Extruded,2020-10-27,9012,55,1.8,2
30738,2020-12-21,NA,21.48,20,Y-maze 2,16.282,0.034,27,37,6,77,17,Female,B6xBXD101,Ntg,6% Extruded,2020-10-27,9019,55,1.8,2
30740,2020-12-21,NA,18.98,21,Y-maze 1,16.071,0.033,25,36,5,74,15,Female,B6xBXD101,5XFAD,6% Extruded,2020-10-27,9019,55,1.8,2
30741,2020-12-21,NA,21.41,22,Y-maze 2,13.612,0.028,16,31,11,55,38,Female,B6xBXD101,5XFAD,6% Extruded,2020-10-27,9019,55,1.8,2
30722,2020-12-21,NA,18.32,23,Y-maze 1,14.267,0.03,21,32,7,70,23,Female,B6xBXD98,5XFAD,6% Extruded,2020-10-27,9015,55,1.8,2
30723,2020-12-21,NA,20.98,24,Y-maze 2,11.751,0.024,10,24,8,45,36,Female,B6xBXD98,Ntg,6% Extruded,2020-10-27,9015,55,1.8,2
30744,2020-12-21,NA,25.42,25,Y-maze 1,11.877,0.025,13,25,6,57,26,Male,B6xBXD101,5XFAD,6% Extruded,2020-10-27,9021,55,1.8,2
30745,2020-12-21,NA,24.58,26,Y-maze 2,7.4,0.015,11,17,3,73,20,Male,B6xBXD101,5XFAD,6% Extruded,2020-10-27,9021,55,1.8,2
30746,2020-12-21,NA,27.16,27,Y-maze 1,14.179,0.03,19,32,9,63,30,Male,B6xBXD101,Ntg,6% Extruded,2020-10-27,9021,55,1.8,2
30739,2020-12-21,NA,19,28,Y-maze 2,13.274,0.028,18,26,6,75,25,Female,B6xBXD101,Ntg,6% Extruded,2020-10-27,9020,55,1.8,2
30742,2020-12-21,NA,18.27,29,Y-maze 1,12.931,0.027,15,28,7,58,27,Female,B6xBXD101,5XFAD,6% Extruded,2020-10-27,9020,55,1.8,2
30743,2020-12-21,NA,19.66,30,Y-maze 2,13.822,0.029,22,30,4,79,14,Female,B6xBXD101,5XFAD,6% Extruded,2020-10-27,9020,55,1.8,2
30724,2020-12-21,NA,19.56,31,Y-maze 1,18.82,0.039,23,38,10,64,28,Female,B6xBXD98,Ntg,6% Extruded,2020-10-27,9016,55,1.8,2
30725,2020-12-21,NA,19.59,32,Y-maze 2,15.522,0.032,22,32,7,73,23,Female,B6xBXD98,5XFAD,6% Extruded,2020-10-27,9016,55,1.8,2
30726,2020-12-21,NA,19.03,33,Y-maze 1,14.454,0.03,22,31,5,76,17,Female,B6xBXD98,Ntg,6% Extruded,2020-10-27,9016,55,1.8,2
30760,2020-12-21,NA,24.44,34,Y-maze 2,5.317,0.011,6,10,2,75,25,Male,B6xBXD101,5XFAD,6% Extruded,2020-10-27,9026,55,1.8,2
30761,2020-12-21,NA,24.91,35,Y-maze 1,14.915,0.031,26,31,2,90,7,Male,B6xBXD101,Ntg,6% Extruded,2020-10-27,9026,55,1.8,2
30762,2020-12-21,NA,26.02,36,Y-maze 2,14.534,0.03,28,32,2,93,7,Male,B6xBXD101,5XFAD,6% Extruded,2020-10-27,9026,55,1.8,2
30763,2020-12-21,NA,26.47,37,Y-maze 1,11.164,0.023,18,25,5,78,22,Male,B6xBXD101,Ntg,6% Extruded,2020-10-27,9026,55,1.8,2
30748,2020-12-21,NA,20.35,38,Y-maze 2,12.52,0.026,13,26,8,54,33,Female,B6xBXD101,Ntg,6% Extruded,2020-10-27,9024,55,1.8,2
30750,2020-12-21,NA,19.06,39,Y-maze 1,14.68,0.031,22,30,5,79,18,Female,B6xBXD101,Ntg,6% Extruded,2020-10-27,9024,55,1.8,2
30751,2020-12-21,NA,18.33,40,Y-maze 2,9.409,0.02,12,19,2,71,12,Female,B6xBXD101,5XFAD,6% Extruded,2020-10-27,9024,55,1.8,2
30752,2020-12-21,NA,20.92,41,Y-maze 1,13.159,0.027,20,27,5,80,20,Female,B6xBXD101,Ntg,6% Extruded,2020-10-27,9024,55,1.8,2
30753,2020-12-21,NA,19.37,42,Y-maze 2,13.429,0.028,16,27,8,64,32,Female,B6xBXD101,5XFAD,6% Extruded,2020-10-27,9024,55,1.8,2
30779,2020-12-23,NA,17.36,1,Y-maze 1,16.596,0.035,22,37,10,63,29,Female,B6xBXD102,5XFAD,6% Extruded,2020-10-27,9029,57,1.87,2
30780,2020-12-23,NA,18.41,2,Y-maze 2,23.741,0.049,31,53,17,61,33,Female,B6xBXD102,5XFAD,6% Extruded,2020-10-27,9029,57,1.87,2
30781,2020-12-23,NA,18.07,3,Y-maze 1,15.018,0.031,19,33,8,61,26,Female,B6xBXD102,Ntg,6% Extruded,2020-10-27,9029,57,1.87,2
30828,2020-12-23,NA,21.78,5,Y-maze 1,17.022,0.035,23,39,9,62,24,Male,B6xBXD169,5XFAD,45% HFD,2020-10-27,9039,57,1.87,2
30764,2020-12-23,NA,18.7,7,Y-maze 1,15.614,0.033,22,32,8,73,27,Female,B6xBXD102,Ntg,6% Extruded,2020-10-27,9027,57,1.87,2
30765,2020-12-23,NA,16.76,8,Y-maze 2,11.936,0.025,16,26,5,67,21,Female,B6xBXD102,5XFAD,6% Extruded,2020-10-27,9027,57,1.87,2
30782,2020-12-23,NA,19.09,9,Y-maze 1,17.184,0.036,23,34,7,72,22,Female,B6xBXD102,Ntg,6% Extruded,2020-10-27,9027,57,1.87,2
30672,2020-12-23,NA,16.37,10,Y-maze 2,17.932,0.037,29,36,5,85,15,Female,B6xBXD73,5XFAD,45% HFD,2020-10-27,9004,57,1.87,2
